classifier_name,dataset_name,accuracy
em,heart_rate_20,0.5412568306010929
kpca,heart_rate_20,0.5412568306010929
ppca,heart_rate_20,0.5412568306010929
mpk,heart_rate_20,0.5908743169398907
mean,heart_rate_30,0.5412568306010929
mice,heart_rate_30,0.5412568306010929
rbfn,heart_rate_30,0.0
genrbf,heart_rate_30,0.5412568306010929
em,heart_rate_30,0.5412568306010929
kpca,heart_rate_30,0.5412568306010929
ppca,heart_rate_30,0.5412568306010929
mpk,heart_rate_30,0.5908743169398907
mean,heart_rate_40,0.5412568306010929
mice,heart_rate_40,0.5412568306010929
rbfn,heart_rate_40,0.0
genrbf,heart_rate_40,0.5412568306010929
em,heart_rate_40,0.5412568306010929
kpca,heart_rate_40,0.5412568306010929
ppca,heart_rate_40,0.5412568306010929
mpk,heart_rate_40,0.5908743169398907
mean,heart_rate_50,0.5412568306010929
mice,heart_rate_50,0.5412568306010929
rbfn,heart_rate_50,0.0
genrbf,heart_rate_50,0.5412568306010929
em,heart_rate_50,0.5412568306010929
kpca,heart_rate_50,0.5412568306010929
ppca,heart_rate_50,0.5412568306010929
mpk,heart_rate_50,0.5908743169398907
mean,heart_rate_60,0.5412568306010929
mice,heart_rate_60,0.5412568306010929
rbfn,heart_rate_60,0.0
genrbf,heart_rate_60,0.5412568306010929
em,heart_rate_60,0.5412568306010929
kpca,heart_rate_60,0.5412568306010929
ppca,heart_rate_60,0.5412568306010929
mpk,heart_rate_60,0.5908743169398907
mean,heart_rate_70,0.5412568306010929
mice,heart_rate_70,0.5412568306010929
rbfn,heart_rate_70,0.0
genrbf,heart_rate_70,0.5412568306010929
em,heart_rate_70,0.5412568306010929
kpca,heart_rate_70,0.5412568306010929
ppca,heart_rate_70,0.5412568306010929
mpk,heart_rate_70,0.5908743169398907
mean,heart_rate_80,0.5412568306010929
mice,heart_rate_80,0.5412568306010929
rbfn,heart_rate_80,0.0
genrbf,heart_rate_80,0.5412568306010929
em,heart_rate_80,0.5412568306010929
kpca,heart_rate_80,0.5412568306010929
ppca,heart_rate_80,0.5412568306010929
mpk,heart_rate_80,0.5908743169398907
mean,adult_rate_5,0.5301175248150374
mice,adult_rate_5,0.5301175248150374
genrbf,adult_rate_5,0.4670161085531134
em,adult_rate_5,0.5094262295081967
kpca,adult_rate_5,0.5061475409836065
ppca,adult_rate_5,0.5301789477805448
mpk,adult_rate_5,0.5540983606557377
mean,adult_rate_10,0.5301175248150374
mice,adult_rate_10,0.5301175248150374
genrbf,adult_rate_10,0.4670161085531134
em,adult_rate_10,0.5094262295081967
kpca,adult_rate_10,0.5061475409836065
ppca,adult_rate_10,0.5301789477805448
mpk,adult_rate_10,0.5540983606557377
mean,adult_rate_20,0.5301175248150374
mice,adult_rate_20,0.5301175248150374
genrbf,adult_rate_20,0.4670161085531134
em,adult_rate_20,0.5094262295081967
kpca,adult_rate_20,0.5061475409836065
ppca,adult_rate_20,0.5301789477805448
mpk,adult_rate_20,0.5540983606557377
mean,adult_rate_30,0.5301175248150374
mice,adult_rate_30,0.5301175248150374
genrbf,adult_rate_30,0.4670161085531134
em,adult_rate_30,0.5094262295081967
kpca,adult_rate_30,0.5061475409836065
ppca,adult_rate_30,0.5301789477805448
mpk,adult_rate_30,0.5540983606557377
mean,adult_rate_40,0.5301175248150374
mice,adult_rate_40,0.5301175248150374
genrbf,adult_rate_40,0.4670161085531134
em,adult_rate_40,0.5094262295081967
kpca,adult_rate_40,0.5061475409836065
ppca,adult_rate_40,0.5301789477805448
mpk,adult_rate_40,0.5540983606557377
mean,adult_rate_50,0.5301175248150374
mice,adult_rate_50,0.5301175248150374
genrbf,adult_rate_50,0.4670161085531134
em,adult_rate_50,0.5094262295081967
kpca,adult_rate_50,0.5061475409836065
ppca,adult_rate_50,0.5301789477805448
mpk,adult_rate_50,0.5540983606557377
